SoilType,CropName,Revenue,Pesticides,Fertilizers,pHLevel,Moisture,,
Loamy Soil,Wheat,₹ 150000,Malathion (Insecticide),Urea (Nitrogen),6.5,15%,,
Loamy Soil,Barley,₹ 160000,Carbaryl (Insecticide),DAP (Di-Ammonium Phosphate),6.3,12%,,
Loamy Soil,Sugarcane,₹ 180000,Endosulfan (Insecticide),Potash (K2O),6.8,18%,,
Sandy Soil,Peanuts,₹ 120000,Chlorpyrifos (Insecticide),Superphosphate,7,10%,,
Sandy Soil,Millets,₹ 130000,Imidacloprid (Insecticide),Ammonium Nitrate,7.2,14%,,
Sandy Soil,Watermelon,₹ 150000,Diazinon (Insecticide),Potassium Sulphate,6.9,12%,,
Alluvial Soil,Rice,₹ 200000,Tricyclazole (Fungicide),Urea (Nitrogen),6.2,20%,,
Alluvial Soil,Cotton,₹ 220000,Thiamethoxam (Insecticide),NPK (Nitrogen,7,18%,,
Alluvial Soil,Jute,₹ 250000,Malathion (Insecticide),DAP (Di-Ammonium Phosphate),6.4,16%,,
Clayey Soil,Paddy,₹ 170000,Pyrethroid (Insecticide),NPK (Nitrogen,5.9,22%,,
Clayey Soil,Lentils,₹ 180000,Bifenthrin (Insecticide),Ammonium Sulphate,6,19%,,
Clayey Soil,Tomatoes,₹ 200000,Acephate (Insecticide),Compost,6.1,21%,,
Laterite Soil,Cashew,₹ 130000,Dimethoate (Insecticide),Superphosphate,5.8,14%,,
Laterite Soil,Coffee,₹ 150000,Endosulfan (Insecticide),Organic Fertilizers,5.5,17%,,
Laterite Soil,Tea,₹ 170000,Cypermethrin (Insecticide),NPK (Nitrogen,5.7,16%,,
Loamy Soil,Corn,₹ 155000,Malathion (Insecticide),Urea (Nitrogen),6.4,14%,,
Loamy Soil,Oats,₹ 145000,Carbaryl (Insecticide),DAP (Di-Ammonium Phosphate),6.2,13%,,
Loamy Soil,Sorghum,₹ 165000,Endosulfan (Insecticide),Potash (K2O),6.7,17%,,
Sandy Soil,Beans,₹ 115000,Chlorpyrifos (Insecticide),Superphosphate,7.1,11%,,
Sandy Soil,Sunflower,₹ 125000,Imidacloprid (Insecticide),Ammonium Nitrate,7.3,15%,,
Sandy Soil,Cantaloupe,₹ 140000,Diazinon (Insecticide),Potassium Sulphate,6.8,13%,,
Alluvial Soil,Wheat,₹ 190000,Tricyclazole (Fungicide),Urea (Nitrogen),6.3,19%,,
Alluvial Soil,Soybean,₹ 230000,Thiamethoxam (Insecticide),NPK (Nitrogen,6.6,17%,,
Alluvial Soil,Corn,₹ 240000,Malathion (Insecticide),DAP (Di-Ammonium Phosphate),6.5,15%,,
Clayey Soil,Soybean,₹ 175000,Pyrethroid (Insecticide),NPK (Nitrogen,5.8,21%,,
Clayey Soil,Pea,₹ 185000,Bifenthrin (Insecticide),Ammonium Sulphate,5.9,18%,,
Clayey Soil,Carrot,₹ 195000,Acephate (Insecticide),Compost,6,20%,,
Laterite Soil,Pineapple,₹ 135000,Dimethoate (Insecticide),Superphosphate,5.7,13%,,
Laterite Soil,Rubber,₹ 140000,Endosulfan (Insecticide),Organic Fertilizers,5.4,16%,,
Laterite Soil,Cocoa,₹ 155000,Cypermethrin (Insecticide),NPK (Nitrogen,5.6,15%,,
Loamy Soil,Corn,₹ 150000,Malathion (Insecticide),Urea (Nitrogen),6.5,15%,,
Loamy Soil,Barley,₹ 160000,Carbaryl (Insecticide),DAP (Di-Ammonium Phosphate),6.3,12%,,
Loamy Soil,Sugarcane,₹ 180000,Endosulfan (Insecticide),Potash (K2O),6.8,18%,,
Sandy Soil,Peanuts,₹ 120000,Chlorpyrifos (Insecticide),Superphosphate,7,10%,,
Sandy Soil,Millets,₹ 130000,Imidacloprid (Insecticide),Ammonium Nitrate,7.2,14%,,
Sandy Soil,Watermelon,₹ 150000,Diazinon (Insecticide),Potassium Sulphate,6.9,12%,,
Alluvial Soil,Rice,₹ 200000,Tricyclazole (Fungicide),Urea (Nitrogen),6.2,20%,,
Alluvial Soil,Cotton,₹ 220000,Thiamethoxam (Insecticide),NPK (Nitrogen,6.7,18%,,
Alluvial Soil,Jute,₹ 250000,Malathion (Insecticide),DAP (Di-Ammonium Phosphate),6.4,16%,,
Clayey Soil,Paddy,₹ 170000,Pyrethroid (Insecticide),NPK (Nitrogen,5.9,22%,,
Clayey Soil,Lentils,₹ 180000,Bifenthrin (Insecticide),Ammonium Sulphate,6,19%,,
Clayey Soil,Tomatoes,₹ 200000,Acephate (Insecticide),Compost,6.1,21%,,
Laterite Soil,Cashew,₹ 130000,Dimethoate (Insecticide),Superphosphate,5.8,14%,,
Laterite Soil,Coffee,₹ 150000,Endosulfan (Insecticide),Organic Fertilizers,5.5,17%,,
Laterite Soil,Tea,₹ 170000,Cypermethrin (Insecticide),NPK (Nitrogen,5.6,16%,,
Loamy Soil,Corn,₹ 155000,Malathion (Insecticide),Urea (Nitrogen),6.4,14%,,
Loamy Soil,Oats,₹ 145000,Carbaryl (Insecticide),DAP (Di-Ammonium Phosphate),6.2,13%,,
Loamy Soil,Sorghum,₹ 165000,Endosulfan (Insecticide),Potash (K2O),6.7,17%,,
Sandy Soil,Beans,₹ 115000,Chlorpyrifos (Insecticide),Superphosphate,7.1,11%,,
Sandy Soil,Sunflower,₹ 125000,Imidacloprid (Insecticide),Ammonium Nitrate,7.3,15%,,
Sandy Soil,Cantaloupe,₹ 140000,Diazinon (Insecticide),Potassium Sulphate,6.8,13%,,
Alluvial Soil,Wheat,₹ 190000,Tricyclazole (Fungicide),Urea (Nitrogen),6.3,19%,,
Alluvial Soil,Soybean,₹ 230000,Thiamethoxam (Insecticide),NPK (Nitrogen,6.6,17%,,
Alluvial Soil,Corn,₹ 240000,Malathion (Insecticide),DAP (Di-Ammonium Phosphate),6.5,15%,,
Clayey Soil,Soybean,₹ 175000,Pyrethroid (Insecticide),NPK (Nitrogen,5.8,21%,,
Clayey Soil,Pea,₹ 185000,Bifenthrin (Insecticide),Ammonium Sulphate,5.9,18%,,
Clayey Soil,Carrot,₹ 195000,Acephate (Insecticide),Compost,6,20%,,
Laterite Soil,Pineapple,₹ 135000,Dimethoate (Insecticide),Superphosphate,5.7,13%,,
Laterite Soil,Rubber,₹ 140000,Endosulfan (Insecticide),Organic Fertilizers,5.4,16%,,
Laterite Soil,Cocoa,₹ 155000,Cypermethrin (Insecticide),NPK (Nitrogen,5.6,15%,,
Loamy Soil,Corn,₹ 150000,Malathion (Insecticide),Urea (Nitrogen),6.5,15%,,
Loamy Soil,Barley,₹ 160000,Carbaryl (Insecticide),DAP (Di-Ammonium Phosphate),6.3,12%,,
Loamy Soil,Sugarcane,₹ 180000,Endosulfan (Insecticide),Potash (K2O),6.8,18%,,
Sandy Soil,Peanuts,₹ 120000,Chlorpyrifos (Insecticide),Superphosphate,7,10%,,
Sandy Soil,Millets,₹ 130000,Imidacloprid (Insecticide),Ammonium Nitrate,7.2,14%,,
Sandy Soil,Watermelon,₹ 150000,Diazinon (Insecticide),Potassium Sulphate,6.9,12%,,
Alluvial Soil,Rice,₹ 200000,Tricyclazole (Fungicide),Urea (Nitrogen),6.2,20%,,
Alluvial Soil,Cotton,₹ 220000,Thiamethoxam (Insecticide),NPK (Nitrogen,6.7,18%,,
Alluvial Soil,Jute,₹ 250000,Malathion (Insecticide),DAP (Di-Ammonium Phosphate),6.4,16%,,
Clayey Soil,Paddy,₹ 170000,Pyrethroid (Insecticide),NPK (Nitrogen,5.9,22%,,
Clayey Soil,Lentils,₹ 180000,Bifenthrin (Insecticide),Ammonium Sulphate,6,19%,,
Clayey Soil,Tomatoes,₹ 200000,Acephate (Insecticide),Compost,6.1,21%,,
Laterite Soil,Cashew,₹ 130000,Dimethoate (Insecticide),Superphosphate,5.8,14%,,
Laterite Soil,Coffee,₹ 150000,Endosulfan (Insecticide),Organic Fertilizers,5.5,17%,,
Laterite Soil,Tea,₹ 170000,Cypermethrin (Insecticide),NPK (Nitrogen,5.6,16%,,
Loamy Soil,Corn,₹ 155000,Malathion (Insecticide),Urea (Nitrogen),6.4,14%,,
Loamy Soil,Oats,₹ 145000,Carbaryl (Insecticide),DAP (Di-Ammonium Phosphate),6.2,13%,,
Loamy Soil,Sorghum,₹ 165000,Endosulfan (Insecticide),Potash (K2O),6.7,17%,,
